,SURVEY_EAR,STATE_NAME,9-12_Dropout_Rate,Latitude,Longitude
0,2009-10,Alabama,1.799999237,32.3182314,-86.902298
1,2009-10,Arizona,7.799999237000001,34.0489281,-111.0937311
2,2009-10,Arkansas,3.599998474,35.20105,-91.8318334
3,2009-10,California,4.5999984739999995,36.778261,-119.4179324
4,2009-10,Colorado,5.299999237,39.5500507,-105.7820674
5,2009-10,Connecticut,3.0,41.6032207,-73.087749
6,2009-10,Delaware,3.899999619,38.9108325,-75.52766989999999
7,2009-10,District of Columbia,7.0,38.90723089999999,-77.0364641
8,2009-10,Florida,2.2999992369999998,27.6648274,-81.5157535
9,2009-10,Georgia,3.7999992369999998,32.1656221,-82.9000751
10,2009-10,Idaho,1.3999996190000001,44.0682019,-114.7420408
11,2009-10,Illinois,2.899999619,40.6331249,-89.3985283
12,2009-10,Indiana,1.599999428,40.2671941,-86.1349019
13,2009-10,Iowa,3.399999619,41.8780025,-93.097702
14,2009-10,Kansas,2.099998474,39.011902,-98.4842465
15,2009-10,Kentucky,3.199998856,37.8393332,-84.2700179
16,2009-10,Louisiana,4.799999237,30.9842977,-91.96233269999999
17,2009-10,Maine,4.199996948,45.253783,-69.4454689
18,2009-10,Maryland,2.699998856,39.0457549,-76.64127119999999
19,2009-10,Massachusetts,2.7999992369999998,42.4072107,-71.3824374
20,2009-10,Michigan,4.299999237,44.3148443,-85.60236429999999
21,2009-10,Minnesota,1.599999428,46.729553,-94.6858998
22,2009-10,Mississippi,7.399997711,32.3546679,-89.3985283
23,2009-10,Missouri,3.5,37.9642529,-91.8318334
24,2009-10,Montana,4.299999237,46.8796822,-110.3625658
25,2009-10,Nebraska,2.199998856,41.4925374,-99.9018131
26,2009-10,Nevada,4.5,38.8026097,-116.419389
27,2009-10,New Hampshire,1.1999998090000001,43.1938516,-71.5723953
28,2009-10,New Jersey,1.599999428,40.0583238,-74.4056612
29,2009-10,New Mexico,6.899997711,34.5199402,-105.8700901
30,2009-10,New York,3.599998474,43.13868069999999,-74.9682114
31,2009-10,North Carolina,4.699996948,35.7595731,-79.01929969999999
32,2009-10,North Dakota,2.199998856,47.5514926,-101.0020119
33,2009-10,Ohio,4.199996948,40.4172871,-82.90712300000001
34,2009-10,Oklahoma,2.399999619,35.4675602,-97.5164276
35,2009-10,Oregon,3.399999619,43.8041334,-120.5542012
36,2009-10,Pennsylvania,2.099998474,41.2033216,-77.1945247
37,2009-10,Rhode Island,4.5999984739999995,41.5800945,-71.4774291
38,2009-10,South Carolina,3.0,33.836081,-81.1637245
39,2009-10,South Dakota,2.599998474,43.9695148,-99.9018131
40,2009-10,Tennessee,2.699998856,35.5174913,-86.5804473
41,2009-10,Texas,2.699998856,31.9685988,-99.9018131
42,2009-10,Utah,2.599998474,39.3209801,-111.0937311
43,2009-10,Vermont,2.399999619,44.5588028,-72.57784149999999
44,2009-10,Virginia,2.099998474,37.4315734,-78.6568942
45,2009-10,Washington,4.199996948,47.6759636,-120.20841
46,2009-10,West Virginia,4.0,38.5976262,-80.4549026
47,2009-10,Wisconsin,2.199998856,43.7844397,-88.7878678
48,2009-10,Wyoming,6.0,43.0759678,-107.2902839
