,City,Percent Very Religious,Latitude,Longitude
0,"Provo-Orem, UT",77,40.3163422,-111.6776912
1,"Montgomery, AL",64,32.3668052,-86.2999689
2,"Jackson, MS",64,32.2987573,-90.1848103
3,"Birmingham-Hoover, AL",56,33.4088626,-86.8067021
4,"Huntsville, AL",55,34.7303688,-86.5861037
5,"Holland-Grand Haven, MI",55,42.96193590000001,-86.217399
6,"Greenville-Mauldin-Easley, SC",55,34.7074745,-82.3017728
7,"Augusta-Richmond County, GA",55,33.4734978,-82.0105148
8,"Ogden-Clearfield, UT",55,41.1524505,-111.9989425
9,"Little Rock-Conway, AR",54,34.7269418,-92.3344892
10,"Baton Rouge, LA",54,30.4582829,-91.1403196
11,"Morganton, NC",54,35.7454071,-81.6848188
12,"Burlington, VT",17,44.4758825,-73.21207199999999
13,"Boulder, CO",17,40.0149856,-105.2705456
14,"Manchester, NH",22,42.9956397,-71.4547891
15,"Portland, ME",22,43.66147100000001,-70.2553259
16,"Santa Rosa, CA",23,38.440429,-122.7140548
17,"San Francisco, CA",24,37.7749295,-122.4194155
18,"Eugene, OR",24,44.0520691,-123.0867536
19,"Boston, MA",25,42.3584308,-71.0597732
20,"Bremerton, WA",26,47.5673202,-122.6329356
21,"Albany, NY",26,42.6525793,-73.7562317
22,"Springfield, MA",26,42.1014831,-72.589811
23,"Madison, WI",26,43.0730517,-89.4012302
