State,Area (Square Miles)
Texas,268580
California,163695
Montana,147042
New Mexico,121589
Arizona,113998
Nevada,110560
Colorado,104093
Oregon,98380
Wyoming,97813
Michigan,96716
Minnesota,86938
Utah,84898
Idaho,83570
Kansas,82276
Nebraska,77353
South Dakota,77353
Washington,71300
North Dakota,70700
Oklahoma,69899
Missouri,69704
Florida,65755
Wisconsin,65498
Georgia,59425
Illinois,57914
Iowa,56271
New York,54556
North Carolina,53818
Arkansas,53179
Alabama,52419
Louisiana,51840
Mississippi,48431
Pennsylvania,46056
Ohio,44825
Virginia,42774
Tennessee,42144
Kentucky,40410
Indiana,36418
Maine,35385
South Carolina,32020
West Virginia,24230
Maryland,12407
Massachusetts,10555
Vermont,9615
New Hampshire,9350
New Jersey,8722
Connecticut,5544
Delaware,2489
Rhode Island,1545
